date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:18	894/894	---MCZ	200	added ('OK')	text/plain	date:Sat,%2017%20Sep%202022%2008:41:18%20GMT	https://www.facebook.com/robots.txt		(from )
14:11:18	64498/64498	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2008:41:19%20GMT	https://www.facebook.com/	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/www.facebook.com/index.html	(from )
14:11:19	930/930	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Sep%202022%2008:41:19%20GMT	https://www.facebook.com/data/manifest/	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/www.facebook.com/data/manifest/index.html	(from https://www.facebook.com/)
14:11:19	14984/14984	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/D6HoGOr-p-Z.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/D6HoGOr-p-Z1f8e.css	(from https://www.facebook.com/)
14:11:19	61100/61100	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2008:41:19%20GMT	https://www.facebook.com/?_fb_noscript=1	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/www.facebook.com/index4964.html	(from https://www.facebook.com/)
14:11:20	5855/5855	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/G-KYbNVDsxa.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/G-KYbNVDsxa1f8e.css	(from https://www.facebook.com/)
14:11:20	22670/22670	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/5DrQKf4YWX_.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/5DrQKf4YWX_1f8e.css	(from https://www.facebook.com/)
14:11:20	1919/1919	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y8/l/0,cross/LEjEX-rDZWf.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/y8/l/0,cross/LEjEX-rDZWf1f8e.css	(from https://www.facebook.com/)
14:11:20	1168/1168	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/p2lS8DJwA6B.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/p2lS8DJwA6B1f8e.css	(from https://www.facebook.com/)
14:11:21	372152/372152	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/GOI5nwDJ2Jz.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/SOHAM%20DALAL/Downloads/facebook_clone/static.xx.fbcdn.net/rsrc.php/v3/ys/r/GOI5nwDJ2Jz1f8e.js	(from https://www.facebook.com/)
